ID_DESA,NAMA_PROV,NAMA_KAB,NAMA_KEC,NAMA_DESA,R601IK2,R601IK3,R601IK4,R601IK5,R601IK6,R601IK7,R601IK8,TARGET,NAMA_DESA_Y,KABUPATEN,NAMA_KEC_Y,RAIN_MAX_2024_MM,RAIN_MEAN_2024_MM,RAIN_MEDIAN_2024_MM,UNNAMED:_6,UNNAMED:_7,LST_MAX_2024_C,LST_MEAN_2024_C,LST_MEDIAN_2024_C,NDVI_MAX_2024,NDVI_MEAN_2024,NDVI_MEDIAN_2024
140102010,RIAU,BENGKALIS,BANTAN,KEMBUNG LUAR,2,0,0,,0,0,,0,Kembung Luar,Kembung Luar,Bantan,3.654.703.934.907.310,6.573.437.309.985.790,486.479.931.334.104,,,34.925344522047354,28.221189292621915,28.449246325445657,0.8792686932215231,0.723890761488382,0.7757918039333132
140102011,RIAU,BENGKALIS,BANTAN,MENTAYAN,2,0,0,,0,0,,0,Mentayan,Mentayan,Bantan,44.541.046.142.578.100,6.636.999.607.086.180,4.854.262.351.989.740,,,31.712038314176272,29.006177980932087,29.25523371647512,0.8083156700288187,0.675423074754465,0.7107680475504322
140102012,RIAU,BENGKALIS,BANTAN,MUNTAI,2,0,0,,0,0,,0,Muntai,Muntai,Bantan,47.058.890.964.673.900,6.458.441.651.385.760,48.511.002.512.945.600,,,37.66764705882356,28.892021099353425,28.919044117647086,0.8607549219687876,0.6859294952763713,0.730453661464586
140102013,RIAU,BENGKALIS,BANTAN,MUNTAI BARAT,2,0,0,,0,0,,0,Muntai Barat,Muntai Barat,Bantan,5.311.098.710.880.720,65.479.705.943.617.700,47.227.514.954.500.400,,,35.829642447857026,28.83567092442121,28.824331881732785,0.8222273308957954,0.6937904876400924,0.7515950868372944
140102014,RIAU,BENGKALIS,BANTAN,PAMBANG BARU,1,0,0,,1,0,D,1,Pambang Baru,Pambang Baru,Bantan,46.816.171.407.699.500,6.377.193.161.845.200,4.692.369.782.924.650,,,36.867514152104384,29.018368739286675,29.15837312330793,0.840154500737826,0.7048537137235613,0.7515316035415642
140102015,RIAU,BENGKALIS,BANTAN,PAMBANG PESISIR,2,0,0,,0,0,,0,Pambang Pesisir,Pambang Pesisir,Bantan,505.477.409.362.793,621.101.188.659.668,4.349.111.557.006.830,,,33.83632111251584,28.72943955250495,29.029469026548707,0.8240381773399014,0.6636185220701337,0.7012233374384237
140102016,RIAU,BENGKALIS,BANTAN,PASIRAN,2,0,0,,0,0,,0,Pasiran,Pasiran,Bantan,4.521.956.222.534.170,6.721.792.087.554.930,4.679.108.562.469.480,,,31.532602467170744,28.753965890086285,28.82027855153208,0.8747520095503383,0.7401311597086455,0.8087401910067648
140102017,RIAU,BENGKALIS,BANTAN,RESAM LAPIS,2,0,0,,0,0,,0,Resam Lapis,Resam Lapis,Bantan,384.891.471.862.793,6.553.532.123.565.670,4.427.297.115.325.920,,,31.483825503355742,28.506304521520832,28.61509456985972,0.8648905735204393,0.7442208929092504,0.7982658633312997
140102018,RIAU,BENGKALIS,BANTAN,SELAT BARU,2,0,0,,0,0,,0,Selat Baru,Selat Baru,Bantan,4.116.837.328.672.400,6.590.483.874.082.560,4.616.318.183.640.630,,,32.05955375722545,28.73343310825732,28.96104046242777,0.8339404478795084,0.6918096942333428,0.7314152596115734
140102019,RIAU,BENGKALIS,BANTAN,TELUK LANCAR,2,0,0,,0,0,,0,Teluk Lancar,Teluk Lancar,Bantan,39.717.180.101.854.400,6.721.202.808.234.450,5.050.596.295.222.460,,,36.44090822179734,28.374727246746613,28.47990248565968,0.8616029414537568,0.7152360301441624,0.765899415480343
