NAMA_PROV,NAMA_KAB,NAMA_KEC_X,NAMA_DESA_X,R601IK2,R601IK3,R601IK4,R601IK5,R601IK6,R601IK7,R601IK8,ID_UNIK_PODES,TARGET,KEY_JOIN,NAMA_DESA_Y,KABUPATEN,NAMA_KEC_Y,RAIN_MAX_2024_MM,RAIN_MEAN_2024_MM,RAIN_MEDIAN_2024_MM,UNNAMED:_6,UNNAMED:_7,ID_UNIK_SAT,LST_MAX_2024_C,LST_MEAN_2024_C,LST_MEDIAN_2024_C,NDVI_MAX_2024,NDVI_MEAN_2024,NDVI_MEDIAN_2024
RIAU,INDRAGIRI HILIR,SUNGAI BATANG,KUALA SUNGAI BATANG,2,0,0,,0,0,,KUALA SUNGAI BATANG SUNGAI BATANG,0,KUALA SUNGAI BATANG SUNGAI BATANG,Kuala Sungai Batang,Kuala Sungai Batang,Sungai Batang,4.506.443.881.988.520,8.033.918.972.673.080,5.829.469.824.659.410,,,KUALA SUNGAI BATANG SUNGAI BATANG,34.09771502399412,28.17919060943744,28.35039128829828,0.8491130243572395,0.6541194945498405,0.7228050575101488
RIAU,INDRAGIRI HILIR,SUNGAI BATANG,PASENGGERAHAN,2,0,0,,0,0,,PASENGGERAHAN SUNGAI BATANG,0,PASENGGERAHAN SUNGAI BATANG,Pasenggerahan,Pasenggerahan,Sungai Batang,4.937.834.613.387.640,7.737.572.501.371.570,58.042.631.396.302.200,,,PASENGGERAHAN SUNGAI BATANG,32.74509224431312,28.385270958195576,28.54612932115353,0.8772508149740287,0.7238751162301709,0.8054168547375964
RIAU,INDRAGIRI HILIR,SUNGAI BATANG,BENTENG,2,0,0,,0,0,,BENTENG SUNGAI BATANG,0,BENTENG SUNGAI BATANG,Benteng,Benteng,Sungai Batang,571.817.086.291.476,7.881.120.183.201.740,6.121.947.094.085.270,,,BENTENG SUNGAI BATANG,32.03905106845348,28.557385535006496,28.74901213328505,0.8739901303875409,0.7150773380785157,0.7835015392973559
RIAU,INDRAGIRI HILIR,SUNGAI BATANG,BENTENG BARAT,2,0,0,,0,0,,BENTENG BARAT SUNGAI BATANG,0,BENTENG BARAT SUNGAI BATANG,Benteng Barat,Benteng Barat,Sungai Batang,50.840.245.509.218.600,7.745.772.840.486.610,6.005.672.163.617.640,,,BENTENG BARAT SUNGAI BATANG,31.946363420709343,28.37407165677109,28.541530462973984,0.8824592693630651,0.6931075803753919,0.7953610880480765
RIAU,INDRAGIRI HILIR,SUNGAI BATANG,BENTENG UTARA,2,0,0,,0,0,,BENTENG UTARA SUNGAI BATANG,0,BENTENG UTARA SUNGAI BATANG,Benteng Utara,Benteng Utara,Sungai Batang,5.513.481.126.180.500,7.820.503.950.119.010,5.876.766.765.020.720,,,BENTENG UTARA SUNGAI BATANG,33.3198473282443,28.950880257312605,29.04024173027991,0.8639563772264628,0.6970964798373712,0.7784516380407123
RIAU,INDRAGIRI HILIR,SUNGAI BATANG,PANDAN SARI,2,0,0,,0,0,,PANDAN SARI SUNGAI BATANG,0,PANDAN SARI SUNGAI BATANG,Pandan Sari,Pandan Sari,Sungai Batang,4.614.092.610.528.790,7.970.143.815.866.360,5.699.886.597.280.250,,,PANDAN SARI SUNGAI BATANG,33.28140785781107,27.96995078527713,28.211844013096385,0.8854497193638916,0.7025795191564643,0.7939898737137511
RIAU,INDRAGIRI HILIR,SUNGAI BATANG,MUGO MULYO,2,0,0,,0,0,,MUGO MULYO SUNGAI BATANG,0,MUGO MULYO SUNGAI BATANG,Mugo Mulyo,Mugo Mulyo,Sungai Batang,5.457.769.113.502.750,78.012.600.924.005.500,606.442.827.578.412,,,MUGO MULYO SUNGAI BATANG,31.67838674033153,28.613705815935045,28.84299447513814,0.8619391712707181,0.6868454299783808,0.7685433977900551
RIAU,INDRAGIRI HILIR,ENOK,BAGAN JAYA,2,0,0,,0,0,,BAGAN JAYA ENOK,0,BAGAN JAYA ENOK,Bagan Jaya,Bagan Jaya,Enok,3.980.325.964.545.460,802.558.492.037.109,6.145.133.382.151.560,,,BAGAN JAYA ENOK,32.37758664955073,28.971048203123345,29.08482188703469,0.8331946084724006,0.6112669113132778,0.6836876283697046
RIAU,INDRAGIRI HILIR,ENOK,SUHADA,2,0,0,,0,0,,SUHADA ENOK,0,SUHADA ENOK,Suhada,Suhada,Enok,40.282.974.075.317.300,7.785.727.663.040.160,5.825.715.764.999.380,,,SUHADA ENOK,32.83410085632733,28.8546393344008,28.91999365683478,0.8654529019980972,0.658777610350391,0.7566987630827782
RIAU,INDRAGIRI HILIR,ENOK,SUNGAI RUKAM,2,0,0,,0,0,,SUNGAI RUKAM ENOK,0,SUNGAI RUKAM ENOK,,,,,,,,,,33.28881991096725,28.61688785280359,28.61737827715359,0.8561840425531914,0.6638484135017733,0.7515316035415642
